ip,hostname,is_shelly,generation,device_type,model,name,mac,firmware,detected_by,notes
10.107.1.21,shelly1g4-ccba97c89350,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c89350,CCBA97C89350,1.5.99-g4prod1,gen4_rpc,
10.107.1.23,shelly1pmg4-a085e3bbbb8c,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bbbb8c,A085E3BBBB8C,1.6.2,gen4_rpc,
10.107.1.24,shelly1pmg4-a085e3bcfb14,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bcfb14,A085E3BCFB14,1.6.2,gen4_rpc,
10.107.1.33,shelly1g4-a085e3bcdf24,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bcdf24,A085E3BCDF24,1.6.2,gen4_rpc,
10.107.1.35,shelly1pmg4-a085e3bc76f8,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bc76f8,A085E3BC76F8,1.5.99-g4prod1,gen4_rpc,
10.107.1.43,shelly1g4-a085e3bd87d0,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bd87d0,A085E3BD87D0,1.5.99-g4prod1,gen4_rpc,
10.107.1.48,shelly1pmg4-a085e3bcfb2c,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bcfb2c,A085E3BCFB2C,1.6.2,gen4_rpc,
10.107.1.52,shelly1pmg4-a085e3bcfb30,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bcfb30,A085E3BCFB30,1.6.2,gen4_rpc,
10.107.1.56,shelly1g4-a085e3c16eec,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3c16eec,A085E3C16EEC,1.6.2,gen4_rpc,
10.107.1.70,shelly1pmg4-a085e3bbbd40,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bbbd40,A085E3BBBD40,1.6.2,gen4_rpc,
10.107.1.72,shelly1pmg4-a085e3bcfafc,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bcfafc,A085E3BCFAFC,1.6.2,gen4_rpc,
10.107.1.75,shelly1g4-ccba97c89b84,True,Gen4,S1G4ZB,S4SW-001X16EU,shelly1g4-ccba97c89b84,CCBA97C89B84,1.6.2,gen4_rpc,
10.107.1.77,shelly1g4-ccba97c888c8,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c888c8,CCBA97C888C8,1.5.99-g4prod1,gen4_rpc,
10.107.1.78,shelly1pmg4-a085e3bbd280,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bbd280,A085E3BBD280,1.7.0,gen4_rpc,
10.107.1.86,shelly1g4-ccba97c89790,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c89790,CCBA97C89790,1.6.2,gen4_rpc,
10.107.1.90,shelly1g4-a085e3c16c94,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3c16c94,A085E3C16C94,1.6.2,gen4_rpc,
10.107.1.98,shelly1pmg4-a085e3bd8f10,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bd8f10,A085E3BD8F10,1.5.99-g4prod1,gen4_rpc,
10.107.1.118,shelly1g4-a085e3bd7ee0,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-a085e3bd7ee0,A085E3BD7EE0,1.5.99-g4prod1,gen4_rpc,
10.107.1.124,shelly1pmg4-a085e3bd0210,True,Gen4,S1PMG4,S4SW-001P16EU,shelly1pmg4-a085e3bd0210,A085E3BD0210,1.7.0,gen4_rpc,
10.107.1.130,shelly1g4-ccba97c89804,True,Gen4,S1G4,S4SW-001X16EU,shelly1g4-ccba97c89804,CCBA97C89804,1.6.2,gen4_rpc,
